stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoImage.started,demoResp.started,demoFixation.stopped,demoResp.keys,demoResp.rt,Feedback.started,demoLoop.started,demoLoopResp.started,Feedback.stopped,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,exp_resp.keys,exp_resp.rt,expFeedback.started,expFeedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/ANF - Otter.jpg,n,,,,,,,0,8,8,35,,,,,,,,,,,,,,,,,,,,,,,,,40.7978349999903,41.2975485999923,41.2975485999923,41.2975485999923,n,1.339772699997411,42.66375849999895,43.74423640000168,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/AF - HoshinoAI.png,y,,,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,43.74423640000168,44.164460899992264,44.164460899992264,44.24758300000394,n,0.4447290999960387,44.630669999998645,45.64806849999877,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/AF - Panda.jpg,y,,,,,,,0,10,10,29,,,,,,,,,,,,,,,,,,,,,,,,,45.64806849999877,46.13065649999771,46.13065649999771,46.14701810000406,n,0.2416092000057688,46.39711520000128,47.396959199992125,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/NF - Mugs.jpg,n,,,,,,,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,,,47.396959199992125,47.88055419999,47.88055419999,47.89734060000046,n,0.2331685999961337,48.130546999993385,49.14759989999584,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/NF - Chilli.png,n,,,,,,,0,12,12,38,,,,,,,,,,,,,,,,,,,,,,,,,49.14759989999584,49.63094269999419,49.63094269999419,49.64737979999336,n,0.35132460000750143,50.01387959999556,51.014462399994954,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Coffee.png,y,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,51.014462399994954,51.51431099999172,51.51431099999172,51.51431099999172,n,0.41303830000106245,51.94754949999333,,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Chilli.png,y,,,,,,,0,14,14,37,,,,,,,,,,,,,,,,,,,,,,,,,52.967830499997945,53.43417919999047,53.43417919999047,53.46708170000056,n,0.2907286999979988,53.74707169999601,54.747529200001736,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/AF - girl 1.png,y,,,,,,,0,15,15,21,,,,,,,,,,,,,,,,,,,,,,,,,54.747529200001736,55.2472279999929,55.2472279999929,55.2472279999929,n,0.2448285999998916,55.51351409999188,56.514655199993285,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/NF - Coffee.jpg,n,,,,,,,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,56.514655199993285,56.997618099994725,56.997618099994725,57.01462879999599,n,0.42400900000939146,57.447112499998184,58.464068899993435,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF- Dance.png,n,,,,,,,0,17,17,36,,,,,,,,,,,,,,,,,,,,,,,,,58.464068899993435,58.93132249999326,58.93132249999326,58.96335679999902,n,0.5001304000033997,59.46399389998987,60.46407570000156,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Tree.jpg,y,,,,,,,0,18,18,6,,,,,,,,,,,,,,,,,,,,,,,,,60.46407570000156,60.94729969999753,60.94729969999753,60.96406929999648,n,0.0881937999947695,61.064230399992084,62.063770099994144,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/AF - Duck.png,y,,,,,,,0,19,19,25,,,,,,,,,,,,,,,,,,,,,,,,,62.063770099994144,62.54787959999521,62.54787959999521,62.56458140000177,n,0.010704800006351434,62.58027079999738,63.5802854999929,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - Fox.jpg,n,,,,,,,0,20,20,32,,,,,,,,,,,,,,,,,,,,,,,,,63.5802854999929,64.08021339999686,64.08021339999686,64.08021339999686,n,0.10369430000719149,64.214135599992,65.28337829999509,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
